,Year,Sport,Sex,avg_age,avg_height,avg_weight
525,2004,Swimming,M,23.0,191.0,89.0
526,2004,Synchronized Swimming,F,24.0,169.0,58.0
527,2004,Table Tennis,F,30.0,165.0,60.0
528,2004,Table Tennis,M,32.0,180.0,79.0
529,2004,Taekwondo,F,20.0,175.0,56.0
530,2004,Taekwondo,M,25.0,191.0,83.0
531,2004,Tennis,F,30.0,172.0,64.0
532,2004,Tennis,M,24.0,188.0,86.0
533,2004,Trampolining,F,23.0,154.0,52.0
534,2004,Triathlon,F,35.0,164.0,57.0
535,2004,Triathlon,M,29.0,187.0,75.0
536,2004,Volleyball,F,27.0,185.0,78.0
537,2004,Volleyball,M,28.0,201.0,96.0
538,2004,Water Polo,F,24.0,177.0,73.0
539,2004,Water Polo,M,25.0,193.0,96.0
540,2004,Weightlifting,F,26.0,164.0,92.0
541,2004,Weightlifting,M,27.0,170.0,106.0
542,2004,Wrestling,F,23.0,162.0,59.0
543,2004,Wrestling,M,28.0,174.0,80.0
544,2008,Archery,F,29.0,176.0,64.0
545,2008,Archery,M,34.0,186.0,86.0
546,2008,Athletics,F,27.0,171.0,65.0
547,2008,Athletics,M,27.0,185.0,82.0
548,2008,Badminton,F,22.0,169.0,60.0
549,2008,Badminton,M,27.0,175.0,72.0
550,2008,Baseball,M,25.0,188.0,95.0
551,2008,Basketball,F,28.0,185.0,77.0
552,2008,Basketball,M,26.0,199.0,102.0
553,2008,Beach Volleyball,F,32.0,184.0,71.0
554,2008,Beach Volleyball,M,30.0,196.0,92.0
555,2008,Boxing,M,20.0,177.0,64.0
556,2008,Canoeing,F,30.0,170.0,61.0
557,2008,Canoeing,M,24.0,179.0,76.0
558,2008,Cycling,F,31.0,169.0,60.0
